"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3277","should reset app state again","","Thu Jan 30 18:25:35 BDT 2025","failed","Thu Jan 30 18:25:39 BDT 2025","","Performance glitch user product purchase journey","",""
"","9512","should navigate to ""Your Information"" page","","Thu Jan 30 18:26:14 BDT 2025","passed","Thu Jan 30 18:26:23 BDT 2025","","Standard user product purchase journey","",""
"","3136","Verify total price","","Thu Jan 30 18:26:23 BDT 2025","passed","Thu Jan 30 18:26:26 BDT 2025","","Standard user product purchase journey","",""
"","6141","should logout","","Thu Jan 30 18:26:32 BDT 2025","passed","Thu Jan 30 18:26:38 BDT 2025","","Standard user product purchase journey","",""
"","4105","verify product name","","Thu Jan 30 18:25:17 BDT 2025","passed","Thu Jan 30 18:25:21 BDT 2025","","Performance glitch user product purchase journey","",""
"","6175","should logout","","Thu Jan 30 18:25:39 BDT 2025","passed","Thu Jan 30 18:25:45 BDT 2025","","Performance glitch user product purchase journey","",""
"","75","should click on hamburger menu","","Thu Jan 30 18:24:58 BDT 2025","passed","Thu Jan 30 18:24:58 BDT 2025","","Performance glitch user product purchase journey","",""
"","4248","add the product from product detail page","","Thu Jan 30 18:25:13 BDT 2025","passed","Thu Jan 30 18:25:17 BDT 2025","","Performance glitch user product purchase journey","",""
"","9465","should fill user information ,navigate to overview page","","Thu Jan 30 18:25:21 BDT 2025","passed","Thu Jan 30 18:25:31 BDT 2025","","Performance glitch user product purchase journey","",""
"","5174","verify product's price","","Thu Jan 30 18:26:09 BDT 2025","passed","Thu Jan 30 18:26:14 BDT 2025","","Standard user product purchase journey","",""
"","2131","select first product","","Thu Jan 30 18:25:11 BDT 2025","passed","Thu Jan 30 18:25:13 BDT 2025","","Performance glitch user product purchase journey","",""
"","87","verify product's name","","Thu Jan 30 18:26:09 BDT 2025","passed","Thu Jan 30 18:26:09 BDT 2025","","Standard user product purchase journey","",""
"","6328","should login with valid credentials ","","Thu Jan 30 18:24:51 BDT 2025","passed","Thu Jan 30 18:24:58 BDT 2025","","Performance glitch user product purchase journey","",""
"","54","should click on hamburger menu","","Thu Jan 30 18:25:51 BDT 2025","passed","Thu Jan 30 18:25:51 BDT 2025","","Standard user product purchase journey","",""
"","3143","verify product total price and click on finish","","Thu Jan 30 18:25:31 BDT 2025","passed","Thu Jan 30 18:25:34 BDT 2025","","Performance glitch user product purchase journey","",""
"","6528","Verify the error message","","Thu Jan 30 18:24:40 BDT 2025","passed","Thu Jan 30 18:24:46 BDT 2025","","Locked_out_user Login application","",""
"","1722","verify successful order Message","","Thu Jan 30 18:25:34 BDT 2025","passed","Thu Jan 30 18:25:35 BDT 2025","","Performance glitch user product purchase journey","",""
"","1723","verify successful order Message","","Thu Jan 30 18:26:26 BDT 2025","passed","Thu Jan 30 18:26:28 BDT 2025","","Standard user product purchase journey","",""
"","3810","should click on reset app state","","Thu Jan 30 18:25:51 BDT 2025","failed","Thu Jan 30 18:25:55 BDT 2025","","Standard user product purchase journey","",""
"","3864","should click on reset app state","","Thu Jan 30 18:24:58 BDT 2025","failed","Thu Jan 30 18:25:02 BDT 2025","","Performance glitch user product purchase journey","",""
"","13371","add 3 products","","Thu Jan 30 18:25:55 BDT 2025","passed","Thu Jan 30 18:26:09 BDT 2025","","Standard user product purchase journey","",""
"","9131","sort products","","Thu Jan 30 18:25:02 BDT 2025","passed","Thu Jan 30 18:25:11 BDT 2025","","Performance glitch user product purchase journey","",""
"","3302","should reset app state again","","Thu Jan 30 18:26:28 BDT 2025","failed","Thu Jan 30 18:26:32 BDT 2025","","Standard user product purchase journey","",""
"","2445","should login with valid credentials ","","Thu Jan 30 18:25:49 BDT 2025","passed","Thu Jan 30 18:25:51 BDT 2025","","Standard user product purchase journey","",""
